group,exp_id,story,train_mode,seed,K,steps,step_size,weight_mode,run_dir,trajectory_dir,expected_points,replay_mode,replay_walltime,replay_queue,replay_job_id
A0,A0_ddp_strict_300k_ref,Q0 baseline alignment,ddp_fullk,1,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/ddp_seed1_local,60,existing,06:00:00,preemptable,
A0,A0_pipeline_strict_300k_ref,Q0 baseline alignment,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/pipeline_seed1_local,60,existing,06:00:00,preemptable,
A0,A0_single_strict_300k_ref,Q0 baseline alignment,single_fullk,1,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,,0,final_only,,,
A1,A1_single_fullk_k100_s20k,Q1 weighted_sum factor,single_fullk,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/ablation_fid_trajectory/A1_single_fullk_k100_s20k_local,4,existing,02:00:00,preemptable,
A1,A1_single_pipe_deep_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,100,20000,1.0,deep_only,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A1_single_pipe_deep_p4_k100_s20k,4,qsub,02:00:00,preemptable,
A1,A1_single_pipe_last2b001_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,100,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A1_single_pipe_last2b001_p4_k100_s20k,4,qsub,02:00:00,preemptable,
A1,A1_single_pipe_uniform_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/ablation_fid_trajectory/A1_single_pipe_uniform_p4_k100_s20k_local,4,existing,02:00:00,preemptable,
A2,A2_pipe_last2b001_p2_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p2_k100_s20k,4,qsub,02:00:00,preemptable,
A2,A2_pipe_last2b001_p4_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p4_k100_s20k,4,qsub,02:00:00,preemptable,
A2,A2_pipe_last2b001_p8_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p8_k100_s20k,4,qsub,02:00:00,preemptable,
A2,A2_pipe_uniform_p2_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p2_k100_s20k,4,qsub,02:00:00,preemptable,
A2,A2_pipe_uniform_p4_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p4_k100_s20k,4,qsub,02:00:00,preemptable,
A2,A2_pipe_uniform_p8_k100_s20k,Q2 pipeline factor,pipe_strict,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p8_k100_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k100_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,100,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k100_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k150_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,150,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k150_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k200_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,200,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k200_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k30_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,30,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k30_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k400_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,400,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k400_s20k,4,qsub,02:00:00,preemptable,
A3,A3_ddp_fullk_k60_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,60,20000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k60_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k100_s20k,Q3 sampling_fidelity factor,pipe_strict,1,100,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k100_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k150_s20k,Q3 sampling_fidelity factor,pipe_strict,1,150,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k150_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k200_s20k,Q3 sampling_fidelity factor,pipe_strict,1,200,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k200_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k30_s20k,Q3 sampling_fidelity factor,pipe_strict,1,30,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k30_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k400_s20k,Q3 sampling_fidelity factor,pipe_strict,1,400,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k400_s20k,4,qsub,02:00:00,preemptable,
A3,A3_pipe_last2b001_p4_k60_s20k,Q3 sampling_fidelity factor,pipe_strict,1,60,20000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k60_s20k_20260329_145447,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k60_s20k,4,qsub,02:00:00,preemptable,
A4,A4_ddp_fullk_eps001_k100_s20k,Q4 step_size factor,ddp_fullk,1,100,20000,0.01,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps001_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_ddp_fullk_eps002_k100_s20k,Q4 step_size factor,ddp_fullk,1,100,20000,0.02,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps002_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_ddp_fullk_eps005_k100_s20k,Q4 step_size factor,ddp_fullk,1,100,20000,0.05,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps005_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_ddp_fullk_eps010_k100_s20k,Q4 step_size factor,ddp_fullk,1,100,20000,0.1,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps010_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_ddp_fullk_eps020_k100_s20k,Q4 step_size factor,ddp_fullk,1,100,20000,0.2,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps020_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_ddp_fullk_eps020_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_pipe_last2b001_p4_eps001_k100_s20k,Q4 step_size factor,pipe_strict,1,100,20000,0.01,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps001_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_pipe_last2b001_p4_eps002_k100_s20k,Q4 step_size factor,pipe_strict,1,100,20000,0.02,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps002_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_pipe_last2b001_p4_eps005_k100_s20k,Q4 step_size factor,pipe_strict,1,100,20000,0.05,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps005_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_pipe_last2b001_p4_eps010_k100_s20k,Q4 step_size factor,pipe_strict,1,100,20000,0.1,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps010_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps010_k100_s20k,4,qsub,02:00:00,preemptable,
A4,A4_pipe_last2b001_p4_eps020_k100_s20k,Q4 step_size factor,pipe_strict,1,100,20000,0.2,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps020_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A4_pipe_last2b001_p4_eps020_k100_s20k,4,qsub,02:00:00,preemptable,
M1,ddp_fullk_K100_seed2_300k,M1 reproducibility,ddp_fullk,2,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/ddp_seed2_local,60,existing,06:00:00,preemptable,
M1,ddp_fullk_K100_seed3_300k,M1 reproducibility,ddp_fullk,3,100,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/ddp_seed3_local,60,existing,06:00:00,preemptable,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed2_300k,M1 reproducibility,pipe_strict,2,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed2_fid_trajectory/pipeline_seed2_local,60,existing,06:00:00,preemptable,
M1,pipe_strict_P4_K100_beta001_lr1e4_seed3_300k,M1 reproducibility,pipe_strict,3,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed3_fid_trajectory/pipeline_seed3_local,60,existing,06:00:00,preemptable,
M2,ddp_fullk_K400_seed1_300k,M2 high_K control,ddp_fullk,1,400,300000,1.0,uniform,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/ddp_fullk_K400_seed1_300k,60,qsub,06:00:00,preemptable,
M2,pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,M2 high_K control,pipe_strict,1,400,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,60,qsub,06:00:00,preemptable,
