phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,paired_key,target_role,budget_basis,legacy_context,notes
O1,O1,O1_single_fullk_K100_seed1_300k,Objective-first single-side baseline control,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,300k_objective_screen,no,Objective-first baseline for single-side comparisons
O1,O1,O1_single_pipe_emul_P2_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P2_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P4_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,4,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P4_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P8_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,8,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P8_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,8,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P16_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,16,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O1,O1,O1_single_pipe_emul_P16_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,16,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate
O2,O2,O2_ddp_fullk_K100_seed1_300k,Objective-first multi-GPU baseline control,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_paired_realization,no,Strict DDP baseline for paired comparisons
O2,O2,O2_pipe_strict_P2_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,2,2,100,300000,1e-4,1.0,uniform,0.01,1,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P2_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,2,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P4_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,4,4,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P4_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P8_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,8,8,100,300000,1e-4,1.0,uniform,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P8_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,8,8,100,300000,1e-4,1.0,deep_only,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P16_uniform_K100_seed1_300k,Objective-first paired pipeline realization with uniform weighting,pipe_strict,16,16,100,300000,1e-4,1.0,uniform,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_uniform,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
O2,O2,O2_pipe_strict_P16_deep_K100_seed1_300k,Objective-first paired pipeline realization with deep-only weighting,pipe_strict,16,16,100,300000,1e-4,1.0,deep_only,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_deep,pipeline_realization,300k_paired_realization,no,Paired with O1 single emulation
