phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,notes,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
E1,E1,E1_single_fullk_K100_s300k,Deep-only pipeline-factor control on a single GPU,single_fullk,1,1,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 control,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_fullk_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_fullk_K100_s300k_20260404_150351/eval,6991253.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_ddp_fullk_K100_s300k,Deep-only pipeline-factor control under strict DDP,ddp_fullk,4,1,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 control,2026-04-05T00:33:58Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_ddp_fullk_K100_s300k_20260405_003358,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_ddp_fullk_K100_s300k_20260405_003358/eval,6992361.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_single_pipe_emul_P2_deep_K100_s300k,Single-GPU completion-aware objective with P=2 deep-only,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 single emulation,2026-04-05T00:33:58Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P2_deep_K100_s300k_20260405_003358,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P2_deep_K100_s300k_20260405_003358/eval,6992362.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_single_pipe_emul_P4_deep_K100_s300k,Single-GPU completion-aware objective with P=4 deep-only,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 single emulation,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P4_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P4_deep_K100_s300k_20260404_150351/eval,6991256.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_single_pipe_emul_P8_deep_K100_s300k,Single-GPU completion-aware objective with P=8 deep-only,single_pipe_emul,1,8,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 single emulation,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P8_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P8_deep_K100_s300k_20260404_150351/eval,6991257.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_single_pipe_emul_P16_deep_K100_s300k,Single-GPU completion-aware objective with P=16 deep-only,single_pipe_emul,1,16,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 single emulation,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P16_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P16_deep_K100_s300k_20260404_150351/eval,6991258.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_pipe_strict_P2_deep_K100_s300k,Strict pipeline deep-only with P=2,pipe_strict,2,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,2,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 pipeline,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P2_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P2_deep_K100_s300k_20260404_150351/eval,6991259.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_pipe_strict_P4_deep_K100_s300k,Strict pipeline deep-only with P=4,pipe_strict,4,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,4,5000,yes,preemptable,08:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 pipeline,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P4_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P4_deep_K100_s300k_20260404_150351/eval,6991260.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_pipe_strict_P8_deep_K100_s300k,Strict pipeline deep-only with P=8,pipe_strict,8,8,100,300000,1e-4,1.0,deep_only,0.01,1,2,4,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 pipeline,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P8_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P8_deep_K100_s300k_20260404_150351/eval,6991261.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
E1,E1,E1_pipe_strict_P16_deep_K100_s300k,Strict pipeline deep-only with P=16,pipe_strict,16,16,100,300000,1e-4,1.0,deep_only,0.01,1,4,4,5000,yes,preemptable,36:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,E1 pipeline,2026-04-04T15:03:51Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P16_deep_K100_s300k_20260404_150351,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_pipe_strict_P16_deep_K100_s300k_20260404_150351/eval,6991262.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
