group,exp_id,story,train_mode,seed,K,steps,step_size,weight_mode,run_dir,trajectory_dir,expected_points,replay_mode,replay_walltime,replay_queue,replay_job_id
E1,E1_ddp_fullk_K100_s300k,Deep-only pipeline-factor control under strict DDP,ddp_fullk,1,100,300000,1.0,deep_only,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_ddp_fullk_K100_s300k_20260405_003358,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_ddp_fullk_K100_s300k_20260405_003358/trajectory,60,existing,,local,
E1,E1_single_fullk_K100_s300k,Deep-only pipeline-factor control on a single GPU,single_fullk,1,100,300000,1.0,deep_only,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_fullk_K100_s300k_local_20260404_151327,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_fullk_K100_s300k_local_20260404_151327/trajectory,60,existing,,local,
E1,E1_single_pipe_emul_P2_deep_K100_s300k,Single-GPU completion-aware objective with P=2 deep-only,single_pipe_emul,1,100,300000,1.0,deep_only,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P2_deep_K100_s300k_20260405_003358,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P2_deep_K100_s300k_20260405_003358/trajectory,60,existing,,local,
E1,E1_single_pipe_emul_P4_deep_K100_s300k,Single-GPU completion-aware objective with P=4 deep-only,single_pipe_emul,1,100,300000,1.0,deep_only,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P4_deep_K100_s300k_local_20260404_151327,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E1/E1_single_pipe_emul_P4_deep_K100_s300k_local_20260404_151327/trajectory,60,existing,,local,
E2,E2_pipe_strict_deep_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,deep_only,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_deep_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_deep_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
E2,E2_pipe_strict_last2b0005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b0005_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
E2,E2_pipe_strict_last2b001_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b001_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
E2,E2_pipe_strict_last2b002_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b002_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
E2,E2_pipe_strict_last2b003_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b003_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
E2,E2_pipe_strict_last2b005_P4_K100_s300k,Provisional weighting study at fixed P=4,pipe_strict,1,100,300000,1.0,last2_beta,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_then_weighting/E2/E2_pipe_strict_last2b005_P4_K100_s300k_20260405_003926/trajectory,60,existing,,local,
