logical_run_id,family_id,seed,horizon_steps,gpu_count,threshold_fid,first_step,first_fid,wallclock_seconds,wallclock_hours,gpu_hours,reached,walltime_source
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,100,35000,87.386531877,3523.333333,0.978704,3.914815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,90,35000,87.386531877,3523.333333,0.978704,3.914815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,80,45000,78.343319935,4530.000000,1.258333,5.033333,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,70,95000,63.088408106,9563.333333,2.656481,10.625926,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,65,95000,63.088408106,9563.333333,2.656481,10.625926,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,60,170000,58.296697123,17113.333333,4.753704,19.014815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,ddp_P1_terminal,1,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,100,35000,85.776266429,3501.680000,0.972689,3.890756,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,90,35000,85.776266429,3501.680000,0.972689,3.890756,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,80,45000,77.989999413,4502.160000,1.250600,5.002400,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,70,95000,64.456787277,9504.560000,2.640156,10.560622,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,65,95000,64.456787277,9504.560000,2.640156,10.560622,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,60,245000,58.519983002,24511.760000,6.808822,27.235289,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,55,280000,54.201634886,28013.440000,7.781511,31.126044,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,ddp_P1_terminal,1,500000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,100,15000,99.083219439,1507.450000,0.418736,1.674944,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,90,20000,88.741081899,2009.933333,0.558315,2.233259,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,80,30000,76.905493131,3014.900000,0.837472,3.349889,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,70,45000,68.849566164,4522.350000,1.256208,5.024833,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,65,140000,64.304997990,14069.533333,3.908204,15.632815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,60,195000,59.124734245,19596.850000,5.443569,21.774278,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,55,240000,54.551408525,24119.200000,6.699778,26.799111,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,ddp_P1_terminal,2,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,100,20000,88.666474652,2007.080000,0.557522,2.230089,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,90,20000,88.666474652,2007.080000,0.557522,2.230089,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,80,30000,75.748995438,3010.620000,0.836283,3.345133,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,70,100000,63.851100092,10035.400000,2.787611,11.150444,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,65,100000,63.851100092,10035.400000,2.787611,11.150444,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,60,195000,55.106592056,19569.030000,5.435842,21.743367,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,55,370000,54.968822446,37130.980000,10.314161,41.256644,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,ddp_P1_terminal,2,500000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,100,30000,92.583435582,3025.800000,0.840500,3.362000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,90,35000,68.355257789,3530.100000,0.980583,3.922333,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,80,35000,68.355257789,3530.100000,0.980583,3.922333,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,70,35000,68.355257789,3530.100000,0.980583,3.922333,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,65,145000,57.704909031,14624.700000,4.062417,16.249667,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,60,145000,57.704909031,14624.700000,4.062417,16.249667,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,ddp_P1_terminal,3,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,100,30000,90.880758862,2519.640000,0.699900,2.799600,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,90,35000,66.014357738,2939.580000,0.816550,3.266200,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,80,35000,66.014357738,2939.580000,0.816550,3.266200,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,70,35000,66.014357738,2939.580000,0.816550,3.266200,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,65,115000,63.397118001,9658.620000,2.682950,10.731800,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,60,120000,58.939780180,10078.560000,2.799600,11.198400,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,55,230000,54.305373295,19317.240000,5.365900,21.463600,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,ddp_P1_terminal,3,500000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,100,15000,95.643328634,1504.750000,0.417986,1.671944,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,90,25000,82.926357567,2507.916667,0.696644,2.786574,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,80,35000,68.532296464,3511.083333,0.975301,3.901204,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,70,35000,68.532296464,3511.083333,0.975301,3.901204,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,65,125000,58.029655120,12539.583333,3.483218,13.932870,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,60,125000,58.029655120,12539.583333,3.483218,13.932870,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,ddp_P1_terminal,4,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,100,20000,89.192510053,2008.733333,0.557981,2.231926,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,90,20000,89.192510053,2008.733333,0.557981,2.231926,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,80,30000,79.102938735,3013.100000,0.836972,3.347889,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,70,95000,69.085636415,9541.483333,2.650412,10.601648,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,65,115000,61.720093152,11550.216667,3.208394,12.833574,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,60,170000,59.532928487,17074.233333,4.742843,18.971370,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,55,175000,53.558815544,17576.416667,4.882338,19.529352,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,ddp_P1_terminal,5,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,100,35000,83.771964530,3529.633333,0.980454,3.921815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,90,35000,83.771964530,3529.633333,0.980454,3.921815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,80,70000,67.867065615,7059.266667,1.960907,7.843630,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,70,70000,67.867065615,7059.266667,1.960907,7.843630,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,65,95000,61.315632195,9580.433333,2.661231,10.644926,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,60,170000,57.654826758,17143.933333,4.762204,19.048815,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,55,280000,53.470456794,28237.066667,7.843630,31.374519,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,ddp_P1_terminal_K100,1,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,100,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,90,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,80,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,70,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,65,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,60,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
