ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,train_mode,world_size,num_nodes,ppn,gpu_count,train_started_at_iso,train_finished_at_iso,train_walltime_seconds,train_walltime_hours,train_gpu_hours,scheduler_attempt_count,walltime_source,notes
current_cifar_paper,O1,single_P16_deepest,current_cifar_paper:cifar10:single_P16_deepest:seed1:h300000,cifar10,single_emulation,16,deepest,100,300000,1,appendix,single_pipe_emul,1,1,1,1,2026-04-16T23:18:36Z,2026-04-17T09:51:07Z,37951,10.541944,10.541944,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P16_equal,current_cifar_paper:cifar10:single_P16_equal:seed1:h300000,cifar10,single_emulation,16,equal,100,300000,1,appendix,single_pipe_emul,1,1,1,1,2026-04-16T23:07:21Z,2026-04-17T09:38:36Z,37875,10.520833,10.520833,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h300000,cifar10,single_strict,1,terminal,100,300000,1,control,single_fullk,1,1,1,1,2026-04-06T21:48:53Z,2026-04-07T06:07:14Z,29901,8.305833,8.305833,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h300000,cifar10,single_emulation,2,deepest,100,300000,1,control,single_pipe_emul,1,1,1,1,2026-04-06T21:48:53Z,2026-04-07T06:16:24Z,30451,8.458611,8.458611,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h300000,cifar10,single_emulation,2,equal,100,300000,1,control,single_pipe_emul,1,1,1,1,2026-04-06T21:48:53Z,2026-04-07T06:18:32Z,30579,8.494167,8.494167,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P4_deepest,current_cifar_paper:cifar10:single_P4_deepest:seed1:h300000,cifar10,single_emulation,4,deepest,100,300000,1,control,single_pipe_emul,1,1,1,1,2026-04-06T21:48:54Z,2026-04-07T06:33:40Z,31486,8.746111,8.746111,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P4_equal,current_cifar_paper:cifar10:single_P4_equal:seed1:h300000,cifar10,single_emulation,4,equal,100,300000,1,control,single_pipe_emul,1,1,1,1,2026-04-06T21:48:55Z,2026-04-07T06:34:27Z,31532,8.758889,8.758889,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P8_deepest,current_cifar_paper:cifar10:single_P8_deepest:seed1:h300000,cifar10,single_emulation,8,deepest,100,300000,1,appendix,single_pipe_emul,1,1,1,1,2026-04-16T02:30:40Z,2026-04-16T11:51:03Z,33623,9.339722,9.339722,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,single_pipe_emul,1,1,1,1,2026-04-23T02:21:57Z,2026-04-23T11:28:25Z,32788,9.107778,9.107778,2,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,cifar10,ddp_strict,1,terminal,100,300000,1,control,ddp_fullk,4,1,4,4,2026-04-06T21:48:55Z,2026-04-07T06:12:15Z,30200,8.388889,33.555556,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P16_deepest,current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,cifar10,strict_pipeline,16,deepest,100,300000,1,appendix,pipe_strict,16,4,4,16,2026-04-16T19:07:34Z,2026-04-17T18:39:36Z,84722,23.533889,376.542222,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P16_equal,current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,cifar10,strict_pipeline,16,equal,100,300000,1,appendix,pipe_strict,16,4,4,16,2026-04-20T10:42:57Z,2026-04-21T09:26:55Z,81838,22.732778,363.724444,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P2_deepest,current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,cifar10,strict_pipeline,2,deepest,100,300000,1,control,pipe_strict,2,1,2,2,2026-04-06T21:48:55Z,2026-04-07T02:46:00Z,17825,4.951389,9.902778,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,cifar10,strict_pipeline,2,equal,100,300000,1,control,pipe_strict,2,1,2,2,2026-04-06T21:48:55Z,2026-04-07T02:44:07Z,17712,4.920000,9.840000,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h300000,cifar10,strict_pipeline,4,deepest,100,300000,1,control,pipe_strict,4,1,4,4,2026-04-06T21:48:55Z,2026-04-07T01:24:31Z,12936,3.593333,14.373333,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h300000,cifar10,strict_pipeline,4,equal,100,300000,1,control,pipe_strict,4,1,4,4,2026-04-06T21:48:55Z,2026-04-07T01:22:00Z,12785,3.551389,14.205556,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P8_deepest,current_cifar_paper:cifar10:pipe_P8_deepest:seed1:h300000,cifar10,strict_pipeline,8,deepest,100,300000,1,appendix,pipe_strict,8,2,4,8,2026-04-17T04:14:55Z,2026-04-17T23:56:10Z,70875,19.687500,157.500000,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O2,pipe_P8_equal,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000,cifar10,strict_pipeline,8,equal,100,300000,1,appendix,pipe_strict,8,2,4,8,2026-04-24T13:15:44Z,2026-04-24T16:27:48Z,11524,3.201111,25.608889,3,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,cifar10,ddp_strict,1,terminal,100,300000,2,headline,ddp_fullk,4,1,4,4,2026-04-08T18:40:56Z,2026-04-09T03:03:25Z,30149,8.374722,33.498889,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,cifar10,ddp_strict,1,terminal,100,300000,3,headline,ddp_fullk,4,1,4,4,2026-04-08T18:42:28Z,2026-04-09T03:06:46Z,30258,8.405000,33.620000,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,cifar10,ddp_strict,1,terminal,100,300000,4,headline,ddp_fullk,4,1,4,4,2026-04-08T18:42:46Z,2026-04-09T03:04:21Z,30095,8.359722,33.438889,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,cifar10,ddp_strict,1,terminal,100,300000,5,headline,ddp_fullk,4,1,4,4,2026-04-08T18:44:27Z,2026-04-09T03:06:38Z,30131,8.369722,33.478889,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,cifar10,strict_pipeline,2,equal,100,300000,2,control,pipe_strict,2,1,2,2,2026-04-09T15:53:25Z,2026-04-09T20:46:34Z,17589,4.885833,9.771667,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,cifar10,strict_pipeline,2,equal,100,300000,3,control,pipe_strict,2,1,2,2,2026-04-09T16:07:29Z,2026-04-09T21:00:49Z,17600,4.888889,9.777778,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h300000,cifar10,pipeline,4,deepest,100,300000,2,appendix,pipe_strict,4,1,4,4,2026-04-30T08:53:03Z,2026-04-30T12:28:53Z,12950,3.597222,14.388889,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h300000,cifar10,pipeline,4,deepest,100,300000,3,appendix,pipe_strict,4,1,4,4,2026-04-30T08:53:03Z,2026-04-30T12:27:55Z,12892,3.581111,14.324444,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h300000,cifar10,strict_pipeline,4,equal,100,300000,2,headline,pipe_strict,4,1,4,4,2026-04-08T19:36:47Z,2026-04-08T23:13:34Z,13007,3.613056,14.452222,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h300000,cifar10,strict_pipeline,4,equal,100,300000,3,headline,pipe_strict,4,1,4,4,2026-04-09T01:39:31Z,2026-04-09T05:15:52Z,12981,3.605833,14.423333,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h300000,cifar10,strict_pipeline,4,equal,100,300000,4,headline,pipe_strict,4,1,4,4,2026-04-13T11:33:54Z,2026-04-13T14:02:27Z,8913,2.475833,9.903333,2,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h300000,cifar10,strict_pipeline,4,equal,100,300000,5,headline,pipe_strict,4,1,4,4,2026-04-09T15:34:46Z,2026-04-09T19:12:27Z,13061,3.628056,14.512222,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed2:h300000,cifar10,single_strict,1,terminal,100,300000,2,headline,single_fullk,1,1,1,1,2026-04-10T12:16:25Z,2026-04-10T20:36:47Z,30022,8.339444,8.339444,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed3:h300000,cifar10,single_strict,1,terminal,100,300000,3,headline,single_fullk,1,1,1,1,2026-04-23T05:27:18Z,2026-04-23T10:53:23Z,19565,5.434722,5.434722,4,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed2:h300000,cifar10,single_emulation,2,deepest,100,300000,2,headline,single_pipe_emul,1,1,1,1,2026-04-10T06:31:07Z,2026-04-10T14:57:43Z,30396,8.443333,8.443333,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed3:h300000,cifar10,single_emulation,2,deepest,100,300000,3,headline,single_pipe_emul,1,1,1,1,2026-04-10T07:45:37Z,2026-04-10T16:16:33Z,30656,8.515556,8.515556,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed2:h300000,cifar10,single_emulation,2,equal,100,300000,2,headline,single_pipe_emul,1,1,1,1,2026-04-09T23:14:04Z,2026-04-10T07:45:27Z,30683,8.523056,8.523056,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed3:h300000,cifar10,single_emulation,2,equal,100,300000,3,headline,single_pipe_emul,1,1,1,1,2026-04-10T02:31:35Z,2026-04-10T11:03:04Z,30689,8.524722,8.524722,1,job_info_successful_attempt,Per-step wallclock is linear interpolation from successful-attempt total walltime; failed/preempted fragments are not added unless represented in canonical job_info.
