ledger,phase_group,family_id,logical_run_id,scheduler_attempt_count,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,status,paper_role,canonical_run_dir,latest_checkpoint,latest_eval_step,notes
current_cifar_paper,O1,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h300000,1,cifar10,single_strict,1,terminal,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Objective-first baseline for single-side comparisons
current_cifar_paper,O1,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h300000,1,cifar10,single_emulation,2,equal,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h300000,1,cifar10,single_emulation,2,deepest,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P4_equal,current_cifar_paper:cifar10:single_P4_equal:seed1:h300000,1,cifar10,single_emulation,4,equal,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P4_deepest,current_cifar_paper:cifar10:single_P4_deepest:seed1:h300000,1,cifar10,single_emulation,4,deepest,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,2,cifar10,single_emulation,8,equal,100,300000,1,completed,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate; deduped 2 execution attempts; 1 earlier failed/resume fragments excluded from logical count
current_cifar_paper,O1,single_P8_deepest,current_cifar_paper:cifar10:single_P8_deepest:seed1:h300000,1,cifar10,single_emulation,8,deepest,100,300000,1,completed,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P16_equal,current_cifar_paper:cifar10:single_P16_equal:seed1:h300000,1,cifar10,single_emulation,16,equal,100,300000,1,completed,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O1,single_P16_deepest,current_cifar_paper:cifar10:single_P16_deepest:seed1:h300000,1,cifar10,single_emulation,16,deepest,100,300000,1,completed,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Single-side P sweep candidate
current_cifar_paper,O2,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,1,cifar10,ddp_strict,1,terminal,100,300000,1,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,Strict DDP baseline for paired comparisons
