group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,fid_inception,fid_feature,unique_ratio,distinct_images,diversity_trace,max_f_neg_last_1k_mean,max_abs_chain_last_1k_mean,fneg_stage2_over_stage3_last_1k_mean,walltime,run_dir,eval_dir,status,train_job_id,eval_job_id
A0,A0_single_strict_300k_ref,Q0 baseline alignment,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,61.65055605301666,0.5418381401279113,1.0,5000,11.005160042301513,nan,nan,nan,27582,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,reference,,
A0,A0_ddp_strict_300k_ref,Q0 baseline alignment,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,66.85674838265982,0.4363502421222769,1.0,5000,8.480574274267594,nan,nan,nan,30394,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,reference,,
A0,A0_pipeline_strict_300k_ref,Q0 baseline alignment,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,55.994582500105366,0.45003938602726734,1.0,5000,8.857848344407158,10.458973,1.4159449999999996,0.4249434432998346,13139,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,reference,,
A1,A1_single_fullk_k100_s20k,Q1 weighted_sum factor,single_fullk,1,1,100,20000,1e-4,1.0,uniform,0.01,97.45603569494159,0.3217627434568442,1.0,5000,9.259305367866435,12.078401058999997,1.536408377000001,nan,1855,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631/eval,done,6979879.polaris-pbs*,6979880.polaris-pbs*
A1,A1_single_pipe_uniform_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,4,100,20000,1e-4,1.0,uniform,0.01,90.51515436229909,1.8820400556637011,1.0,5000,15.341529775156047,7.486319726999989,1.7857441370000016,0.7000505881546365,1907,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631/eval,done,6979881.polaris-pbs*,6979882.polaris-pbs*
A1,A1_single_pipe_deep_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,4,100,20000,1e-4,1.0,deep_only,0.01,124.03824352769476,5.54014885936752,1.0,5000,7.994779206164879,10.305244874999996,1.589593119999999,0.2590609096312233,1921,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631/eval,done,6979883.polaris-pbs*,6979884.polaris-pbs*
A1,A1_single_pipe_last2b001_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,4,100,20000,1e-4,1.0,last2_beta,0.01,132.8462200352461,2.7348389064285747,1.0,5000,5.592946747512397,9.811627551000008,1.5910653739999998,0.291873565318745,1918,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631/eval,done,6979885.polaris-pbs*,6979886.polaris-pbs*
A2,A2_pipe_uniform_p2_k100_s20k,Q2 pipeline factor,pipe_strict,2,2,100,20000,1e-4,1.0,uniform,0.01,108.21582029107128,4.530656164571127,1.0,5000,10.87479295795292,nan,nan,nan,1200,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053/eval,done,6980018.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980019.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A2,A2_pipe_uniform_p4_k100_s20k,Q2 pipeline factor,pipe_strict,4,4,100,20000,1e-4,1.0,uniform,0.01,88.16671818730975,4.96746047023634,1.0,5000,16.01525368958472,nan,nan,0.7030576548720033,878,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053/eval,done,6980020.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980021.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A2,A2_pipe_uniform_p8_k100_s20k,Q2 pipeline factor,pipe_strict,8,8,100,20000,1e-4,1.0,uniform,0.01,99.06115617483204,1.9476538357116304,1.0,5000,11.709830846157327,nan,nan,0.7372478576754483,4790,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326/eval,done,6980030.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
