ledger,phase_group,family_id,logical_run_id,scheduler_attempt_id,exp_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,attempt_kind,attempt_status,scheduler_state,exit_status,train_job_id,submitted_at,started_at,finished_at,run_dir,latest_checkpoint,latest_eval_step,notes
current_cifar_paper,O1,single_P16_deepest,current_cifar_paper:cifar10:single_P16_deepest:seed1:h300000,7090262.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P16_deep_K100_seed1_300k,cifar10,single_emulation,16,deepest,100,300000,1,scheduler,completed,F,0,7090262.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-16T23:18:36Z,2026-04-17T09:51:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Thu Apr 16 at 23:18 on (x3209c0s13b1n0:ncpus=64) and f
current_cifar_paper,O1,single_P16_equal,current_cifar_paper:cifar10:single_P16_equal:seed1:h300000,7090261.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P16_uniform_K100_seed1_300k,cifar10,single_emulation,16,equal,100,300000,1,scheduler,completed,F,0,7090261.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-16T23:07:21Z,2026-04-17T09:38:36Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Thu Apr 16 at 23:07 on (x3212c0s19b0n0:ncpus=64) and f
current_cifar_paper,O1,single_P1_terminal,current_cifar_paper:cifar10:single_P1_terminal:seed1:h300000,6996768.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_fullk_K100_seed1_300k,cifar10,single_strict,1,terminal,100,300000,1,scheduler,completed,,,6996768.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:53Z,2026-04-07T06:07:14Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O1,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h300000,6996770.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P2_deep_K100_seed1_300k,cifar10,single_emulation,2,deepest,100,300000,1,scheduler,completed,,,6996770.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:53Z,2026-04-07T06:16:24Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O1,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h300000,6996769.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P2_uniform_K100_seed1_300k,cifar10,single_emulation,2,equal,100,300000,1,scheduler,completed,,,6996769.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:53Z,2026-04-07T06:18:32Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O1,single_P4_deepest,current_cifar_paper:cifar10:single_P4_deepest:seed1:h300000,6996772.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P4_deep_K100_seed1_300k,cifar10,single_emulation,4,deepest,100,300000,1,scheduler,completed,,,6996772.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:54Z,2026-04-07T06:33:40Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O1,single_P4_equal,current_cifar_paper:cifar10:single_P4_equal:seed1:h300000,6996771.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P4_uniform_K100_seed1_300k,cifar10,single_emulation,4,equal,100,300000,1,scheduler,completed,,,6996771.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T06:34:27Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O1,single_P8_deepest,current_cifar_paper:cifar10:single_P8_deepest:seed1:h300000,7090260.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P8_deep_K100_seed1_300k,cifar10,single_emulation,8,deepest,100,300000,1,scheduler,completed,F,0,7090260.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-16T02:30:40Z,2026-04-16T11:51:03Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Thu Apr 16 at 02:30 on (x3212c0s25b1n0:ncpus=64) and f
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,7090259.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P8_uniform_K100_seed1_300k,cifar10,single_emulation,8,equal,100,300000,1,scheduler,failed,F,143,7090259.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,2026-04-16T01:49:15Z,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step9999.pt,,Job run at Thu Apr 16 at 01:49 on (x3209c0s19b1n0:ncpus=64) and t
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,7096199.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O1_single_pipe_emul_P8_uniform_K100_seed1_300k,cifar10,single_emulation,8,equal,100,300000,1,scheduler,completed,F,0,7096199.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-21T22:33:03Z,2026-04-23T02:21:57Z,2026-04-23T11:28:25Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/checkpoints/ckpt_step99999.pt,300000,Job run at Thu Apr 23 at 02:21 on (x3209c0s7b1n0:ncpus=64) and fi
current_cifar_paper,O2,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,6996773.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_ddp_fullk_K100_seed1_300k,cifar10,ddp_strict,1,terminal,100,300000,1,scheduler,completed,,,6996773.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T06:12:15Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O2,pipe_P16_deepest,current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,7090266.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P16_deep_K100_seed1_300k,cifar10,strict_pipeline,16,deepest,100,300000,1,scheduler,completed,F,0,7090266.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-16T19:07:34Z,2026-04-17T18:39:36Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Thu Apr 16 at 19:07 on (x3209c0s1b0n0:ncpus=64)+(x3210
current_cifar_paper,O2,pipe_P16_equal,current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,7090265.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P16_uniform_K100_seed1_300k,cifar10,strict_pipeline,16,equal,100,300000,1,scheduler,completed,F,0,7090265.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-20T10:42:57Z,2026-04-21T09:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P16_uniform_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Mon Apr 20 at 10:42 on (x3209c0s13b1n0:ncpus=64)+(x320
current_cifar_paper,O2,pipe_P2_deepest,current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,6996775.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P2_deep_K100_seed1_300k,cifar10,strict_pipeline,2,deepest,100,300000,1,scheduler,completed,,,6996775.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T02:46:00Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O2,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,6996774.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P2_uniform_K100_seed1_300k,cifar10,strict_pipeline,2,equal,100,300000,1,scheduler,completed,,,6996774.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T02:44:07Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P2_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O2,pipe_P4_deepest,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h300000,6996777.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P4_deep_K100_seed1_300k,cifar10,strict_pipeline,4,deepest,100,300000,1,scheduler,completed,,,6996777.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T01:24:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_deep_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_deep_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O2,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h300000,6996776.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P4_uniform_K100_seed1_300k,cifar10,strict_pipeline,4,equal,100,300000,1,scheduler,completed,,,6996776.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-06T21:48:45Z,2026-04-06T21:48:55Z,2026-04-07T01:22:00Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_uniform_K100_seed1_300k_20260406_214845,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_uniform_K100_seed1_300k_20260406_214845/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O2,pipe_P8_deepest,current_cifar_paper:cifar10:pipe_P8_deepest:seed1:h300000,7090264.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P8_deep_K100_seed1_300k,cifar10,strict_pipeline,8,deepest,100,300000,1,scheduler,completed,F,0,7090264.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-15T15:26:55Z,2026-04-17T04:14:55Z,2026-04-17T23:56:10Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_deep_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_deep_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step99999.pt,300000,Job run at Fri Apr 17 at 04:14 on (x3209c0s31b1n0:ncpus=64)+(x321
current_cifar_paper,O2,pipe_P8_equal,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000,7090263.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P8_uniform_K100_seed1_300k,cifar10,strict_pipeline,8,equal,100,300000,1,scheduler,failed,F,143,7090263.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,2026-04-16T20:37:32Z,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_20260415_152655,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_20260415_152655/checkpoints/ckpt_step4999.pt,,Job run at Thu Apr 16 at 20:37 on (x3209c0s13b1n0:ncpus=64)+(x321
current_cifar_paper,O2,pipe_P8_equal,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000,7096200.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P8_uniform_K100_seed1_300k,cifar10,strict_pipeline,8,equal,100,300000,1,scheduler,failed,F,143,7096200.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,,2026-04-23T04:15:35Z,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260421_223303,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260421_223303/checkpoints/ckpt_step99999.pt,,Job run at Thu Apr 23 at 04:15 on (x3211c0s25b1n0:ncpus=64)+(x321
current_cifar_paper,O2,pipe_P8_equal,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000,7098620.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O2_pipe_strict_P8_uniform_K100_seed1_300k,cifar10,strict_pipeline,8,equal,100,300000,1,scheduler,completed,F,0,7098620.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-24T03:33:25Z,2026-04-24T13:15:44Z,2026-04-24T16:27:48Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260424_033325,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_uniform_K100_seed1_300k_resume_20260424_033325/checkpoints/ckpt_step299999.pt,300000,Job run at Fri Apr 24 at 13:15 on (x3209c0s31b1n0:ncpus=64)+(x320
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,7023520.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O3_ddp_fullk_K100_seed2_300k,cifar10,ddp_strict,1,terminal,100,300000,2,scheduler,completed,,,7023520.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-07T17:21:01Z,2026-04-08T18:40:56Z,2026-04-09T03:03:25Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260407_172101/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,7023521.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O3_ddp_fullk_K100_seed3_300k,cifar10,ddp_strict,1,terminal,100,300000,3,scheduler,completed,,,7023521.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-07T17:21:01Z,2026-04-08T18:42:28Z,2026-04-09T03:06:46Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260407_172101/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,7023523.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O3_ddp_fullk_K100_seed4_300k,cifar10,ddp_strict,1,terminal,100,300000,4,scheduler,completed,,,7023523.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-07T17:21:01Z,2026-04-08T18:42:46Z,2026-04-09T03:04:21Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260407_172101/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,7023524.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O3_ddp_fullk_K100_seed5_300k,cifar10,ddp_strict,1,terminal,100,300000,5,scheduler,completed,,,7023524.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-07T17:21:01Z,2026-04-08T18:44:27Z,2026-04-09T03:06:38Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260407_172101/checkpoints/ckpt_step99999.pt,300000,
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,7066257.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,O3_pipe_strict_P2_uniform_K100_seed2_300k,cifar10,strict_pipeline,2,equal,100,300000,2,scheduler,completed,,,7066257.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,2026-04-09T13:26:33Z,2026-04-09T15:53:25Z,2026-04-09T20:46:34Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed2_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed2_300k_20260409_132633/checkpoints/ckpt_step99999.pt,300000,
