phase,source_exp_id,exp_id,scale_group,train_mode,world_size,pipe_stages,stage_slices,K,steps,lr,step_size,noise_std,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,local_batch,save_every,vis_every,eval_images,queue,train_walltime,data_dir,source_run_dir,source_checkpoint,config_path,pbs_path,manifest_row_path,run_dir,pbs_output_log
M1_300k,S16_ddp_fullk_K1600_b512_s20k_seed1,M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,S16,ddp_fullk,16,1,1600,1600,300000,1e-4,0.000625,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K1600_b512_s20k_seed1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K1600_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_ddp_fullk_K400_b512_s20k_seed1,M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,S16,ddp_fullk,16,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K400_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_ddp_fullk_K800_b512_s20k_seed1,M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,S16,ddp_fullk,16,1,800,800,300000,1e-4,0.00125,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_ddp_fullk_K800_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_pipe_P16_equal_K1600_b512_s20k_seed1,M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k,S16,pipe_strict,16,16,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,1600,300000,1e-4,0.000625,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K1600_b512_s20k_seed1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K1600_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_pipe_P16_equal_K400_b512_s20k_seed1,M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k,S16,pipe_strict,16,16,25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25,400,300000,1e-4,0.0025,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step4999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K400_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_pipe_P16_equal_K800_b512_s20k_seed1,M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,S16,pipe_strict,16,16,50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50,800,300000,1e-4,0.00125,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_pipe_P16_equal_K800_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_single_fullk_K1600_b512_s20k_seed1,M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k,S16,single_fullk,1,1,1600,1600,300000,1e-4,0.000625,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k/checkpoints/ckpt_step14999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K1600_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_single_fullk_K400_b512_s20k_seed1,M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,S16,single_fullk,1,1,400,400,300000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K400_b512_s20k_seed1_to300k.pbs.out
M1_300k,S16_single_fullk_K800_b512_s20k_seed1,M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,S16,single_fullk,1,1,800,800,300000,1e-4,0.00125,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k/checkpoints/ckpt_step19999.pt,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S16/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S16_single_fullk_K800_b512_s20k_seed1_to300k.pbs.out
M1_300k,S32_ddp_fullk_K1600_b1024_s20k_seed1,M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k,S32,ddp_fullk,32,1,1600,1600,300000,1e-4,0.000625,0.01,deep_only,0.01,1,8,4,1024,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K1600_b1024_s20k_seed1,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M1_300k/S32/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/M1_S32_ddp_fullk_K1600_b1024_s20k_seed1_to300k.pbs.out
