phase,exp_id,microbench_mode,batch_size,local_batch,train_job_id,config_path,pbs_path,run_dir,pbs_output_log,submitted_at,status,qsub_error
A1,A1_single_global_fullstep_K400_b256_s3k_seed1,single_full_step,256,256,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_global_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_single_global_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_single_global_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_single_global_fullstep_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_single_local_fullstep_K400_b32_s3k_seed1,single_full_step,32,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_local_fullstep_K400_b32_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_single_local_fullstep_K400_b32_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_single_local_fullstep_K400_b32_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_single_local_fullstep_K400_b32_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_independent_fullstep_K400_b256_s3k_seed1,independent_full_step,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_independent_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_independent_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_independent_fullstep_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_independent_sampling_K400_b256_s3k_seed1,independent_sampling_only,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_sampling_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_independent_sampling_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_independent_sampling_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_independent_sampling_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_sampling_barrier_K400_b256_s3k_seed1,sampling_only_barrier,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_sampling_barrier_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_sampling_barrier_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_sampling_barrier_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_sampling_barrier_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_ddp_train_only_K400_b256_s3k_seed1,ddp_train_only,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_train_only_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_ddp_train_only_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_ddp_train_only_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_ddp_train_only_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_ddp_fullstep_K400_b256_s3k_seed1,ddp_full_step,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_ddp_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_ddp_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_ddp_fullstep_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1,pipeline_stage_nocomm,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1,pipeline_stage_ring,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
A1,A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1,pipeline_full_step_ring,256,32,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.pbs.out,2026-05-29T22:11:04Z,qsub_failed,qsub: would exceed queue generic's per-user limit
