phase,exp_id,train_job_id,config_path,pbs_path,train_run_dir,pbs_output_log,submitted_at,status
L1,L1_ddp_fullk_K400_s300k_seed1,7127717.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_pipe_P8_equal_K400_s300k_seed1,7127719.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_ddp_fullk_K400_s300k_seed2,7127720.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed2.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_pipe_P8_equal_K400_s300k_seed2,7127721.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed2.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed2,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed2.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_ddp_fullk_K400_s300k_seed3,7127722.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_ddp_fullk_K400_s300k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_ddp_fullk_K400_s300k_seed3.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_pipe_P8_equal_K400_s300k_seed3,7127723.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_pipe_P8_equal_K400_s300k_seed3.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed3,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_pipe_P8_equal_K400_s300k_seed3.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_single_fullk_K400_s300k_seed1,7127724.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_single_fullk_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_single_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_single_fullk_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_single_fullk_K400_s300k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
L1,L1_single_emul_P8_equal_K400_s300k_seed1,7127725.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L1_single_emul_P8_equal_K400_s300k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_single_emul_P8_equal_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_single_emul_P8_equal_K400_s300k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L1_single_emul_P8_equal_K400_s300k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
L2,L2_ddp_fullk_K400_s500k_seed1,7127726.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_ddp_fullk_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_ddp_fullk_K400_s500k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
L2,L2_pipe_P8_equal_K400_s500k_seed1,7127727.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L2_pipe_P8_equal_K400_s500k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L2_pipe_P8_equal_K400_s500k_seed1.pbs.out,2026-05-09T04:40:47Z,submitted
