phase,group,exp_id,story,train_mode,world_size,pipe_stages,stage_slices,K,steps,lr,step_size,noise_std,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,save_every,vis_every,eval_images,queue,train_walltime,data_dir,submit,paper_role,notes,config_path,pbs_path,run_dir,pbs_output_log
L0,long_k_scaling,L0_ddp_fullk_K200_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,200,200,20000,1e-4,0.005,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_ddp_fullk_K200_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_ddp_fullk_K200_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_ddp_fullk_K200_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_ddp_fullk_K200_s20k_seed1.pbs.out
L0,long_k_scaling,L0_pipe_P8_equal_K200_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,25;25;25;25;25;25;25;25,200,20000,1e-4,0.005,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_pipe_P8_equal_K200_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_pipe_P8_equal_K200_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_pipe_P8_equal_K200_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_pipe_P8_equal_K200_s20k_seed1.pbs.out
L0,long_k_scaling,L0_ddp_fullk_K400_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_ddp_fullk_K400_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_ddp_fullk_K400_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_ddp_fullk_K400_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_ddp_fullk_K400_s20k_seed1.pbs.out
L0,long_k_scaling,L0_pipe_P8_equal_K400_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,20000,1e-4,0.0025,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_pipe_P8_equal_K400_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_pipe_P8_equal_K400_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_pipe_P8_equal_K400_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_pipe_P8_equal_K400_s20k_seed1.pbs.out
L0,long_k_scaling,L0_single_fullk_K400_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_fullk,1,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_single_fullk_K400_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_single_fullk_K400_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_single_fullk_K400_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_single_fullk_K400_s20k_seed1.pbs.out
L0,long_k_scaling,L0_single_emul_P8_equal_K400_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,single_pipe_emul,1,8,50;50;50;50;50;50;50;50,400,20000,1e-4,0.0025,0.01,uniform,0.01,1,1,1,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,smoke_control,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0_single_emul_P8_equal_K400_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0_single_emul_P8_equal_K400_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0/L0_single_emul_P8_equal_K400_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0_single_emul_P8_equal_K400_s20k_seed1.pbs.out
L0_optional_same_step,long_k_scaling,L0opt_ddp_fullk_K200_stepsize001_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,200,200,20000,1e-4,0.01,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_smoke,same-step-size smoke only; do not run long horizon without explicit approval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0opt_ddp_fullk_K200_stepsize001_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0opt_ddp_fullk_K200_stepsize001_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0_optional_same_step/L0opt_ddp_fullk_K200_stepsize001_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0opt_ddp_fullk_K200_stepsize001_s20k_seed1.pbs.out
L0_optional_same_step,long_k_scaling,L0opt_pipe_P8_equal_K200_stepsize001_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,25;25;25;25;25;25;25;25,200,20000,1e-4,0.01,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_smoke,same-step-size smoke only; do not run long horizon without explicit approval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0opt_pipe_P8_equal_K200_stepsize001_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0opt_pipe_P8_equal_K200_stepsize001_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0_optional_same_step/L0opt_pipe_P8_equal_K200_stepsize001_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0opt_pipe_P8_equal_K200_stepsize001_s20k_seed1.pbs.out
L0_optional_same_step,long_k_scaling,L0opt_ddp_fullk_K400_stepsize001_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,ddp_fullk,8,1,400,400,20000,1e-4,0.01,0.01,deep_only,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_smoke,same-step-size smoke only; do not run long horizon without explicit approval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0opt_ddp_fullk_K400_stepsize001_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0opt_ddp_fullk_K400_stepsize001_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0_optional_same_step/L0opt_ddp_fullk_K400_stepsize001_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0opt_ddp_fullk_K400_stepsize001_s20k_seed1.pbs.out
L0_optional_same_step,long_k_scaling,L0opt_pipe_P8_equal_K400_stepsize001_s20k_seed1,original CIFAR EBM long-K scaling; no DRL backbone and no ImageNet-32,pipe_strict,8,8,50;50;50;50;50;50;50;50,400,20000,1e-4,0.01,0.01,uniform,0.01,1,2,4,64,5000,5000,5000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,no,optional_smoke,same-step-size smoke only; do not run long horizon without explicit approval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/configs/L0opt_pipe_P8_equal_K400_stepsize001_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L0opt_pipe_P8_equal_K400_stepsize001_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L0_optional_same_step/L0opt_pipe_P8_equal_K400_stepsize001_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/logs/L0opt_pipe_P8_equal_K400_stepsize001_s20k_seed1.pbs.out
