logical_exp_id,resume_job_id,resume_from_ckpt,submitted_at,pbs_path,run_dir,notes
L1_ddp_fullk_K400_s300k_seed1,7139050.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1/checkpoints/ckpt_step74999.pt,2026-05-10T17:47:19.976487+00:00,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed1,"resume user-requested despite unstable pre-resume energy/grad history; analyze as continued logical run, not new seed"
L1_ddp_fullk_K400_s300k_seed2,7140779.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2/checkpoints/ckpt_step84999.pt,2026-05-11T00:13:58.994786+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed2,auto resume after original job left queue before 300k target
L1_pipe_P8_equal_K400_s300k_seed2,7140780.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed2/checkpoints/ckpt_step294999.pt,2026-05-11T00:13:59.427967+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed2,auto resume after original job left queue near 300k target
L2_ddp_fullk_K400_s500k_seed1,7140930.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed1/checkpoints/ckpt_step79999.pt,2026-05-11T00:43:13.352718+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed1,auto resume after original job left queue before 500k target
L1_ddp_fullk_K400_s300k_seed3,7140991.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T00:54:30.412294+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_ddp_fullk_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_ddp_fullk_K400_s300k_seed3,dependent auto successor after 7127722; resolves latest checkpoint at job start
L1_pipe_P8_equal_K400_s300k_seed3,7140992.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T00:54:30.923066+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L1_pipe_P8_equal_K400_s300k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L1/L1_pipe_P8_equal_K400_s300k_seed3,dependent auto successor after 7127723; resolves latest checkpoint at job start
L2_pipe_P8_equal_K400_s500k_seed1,7140993.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T00:54:31.429128+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed1,dependent auto successor after 7127727; resolves latest checkpoint at job start
L2_ddp_fullk_K400_s500k_seed2,7141008.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T01:02:25.371902+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed2,dependent auto successor after 7127728; resolves latest checkpoint at job start
L2_pipe_P8_equal_K400_s500k_seed2,7141009.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T01:02:26.045602+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_pipe_P8_equal_K400_s500k_seed2.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_pipe_P8_equal_K400_s500k_seed2,dependent auto successor after 7127730; resolves latest checkpoint at job start
L2_ddp_fullk_K400_s500k_seed3,7141010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,latest,2026-05-11T01:02:26.511781+00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/pbs/L2_ddp_fullk_K400_s500k_seed3.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_scaling/runs/L2/L2_ddp_fullk_K400_s500k_seed3,dependent auto successor after 7132720; resolves latest checkpoint at job start
