group,exp_id,story,train_mode,seed,steps,expected_points,available_points,status,final_step,final_fid,fid_feature,unique_ratio,best_step,best_fid,final_minus_best,trajectory_dir,run_dir
A0,A0_ddp_strict_300k_ref,Q0 baseline alignment,ddp_fullk,1,300000,60,60,done,300000,66.94092171301946,0.43625693217033046,,280000,54.80543438170548,12.135487331313982,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/ddp_seed1_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322
A0,A0_pipeline_strict_300k_ref,Q0 baseline alignment,pipe_strict,1,300000,60,60,done,300000,56.03988018206087,0.450248156663406,,300000,56.03988018206087,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/seed1_fid_trajectory/pipeline_seed1_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322
A0,A0_single_strict_300k_ref,Q0 baseline alignment,single_fullk,1,300000,0,0,final_only,300000,61.65055605301666,0.5418381401279113,,,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055
A1,A1_single_fullk_k100_s20k,Q1 weighted_sum factor,single_fullk,1,20000,4,4,done,20000,97.47773963240155,0.32190209980078066,,20000,97.47773963240155,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/ablation_fid_trajectory/A1_single_fullk_k100_s20k_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631
A1,A1_single_pipe_deep_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,20000,4,4,done,20000,124.03457338535492,5.539836440583002,,20000,124.03457338535492,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A1_single_pipe_deep_p4_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631
A1,A1_single_pipe_last2b001_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,20000,4,4,done,20000,132.86745741906105,2.7350711345034213,,20000,132.86745741906105,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A1_single_pipe_last2b001_p4_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631
A1,A1_single_pipe_uniform_p4_k100_s20k,Q1 weighted_sum factor,single_pipe_emul,1,20000,4,4,done,20000,90.51786160910899,1.8822026284447766,,20000,90.51786160910899,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_analysis/ablation_fid_trajectory/A1_single_pipe_uniform_p4_k100_s20k_local,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631
A2,A2_pipe_last2b001_p2_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,114.20789711782851,1.8398003018980713,,15000,103.71145904318382,10.496438074644686,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p2_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p2_k100_s20k_20260329_145053
A2,A2_pipe_last2b001_p4_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,106.24379781727725,2.695030185113591,,15000,102.53201465151369,3.7117831657635634,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p4_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p4_k100_s20k_20260329_145053
A2,A2_pipe_last2b001_p8_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,127.72779753701883,3.2417923237077133,,20000,127.72779753701883,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_last2b001_p8_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_last2b001_p8_k100_s20k_20260329_145326
A2,A2_pipe_uniform_p2_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,108.20203466233642,4.530417060016269,,15000,79.20439918924313,28.997635473093283,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p2_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053
A2,A2_pipe_uniform_p4_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,88.16785734518692,4.966823012717217,,20000,88.16785734518692,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p4_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053
A2,A2_pipe_uniform_p8_k100_s20k,Q2 pipeline factor,pipe_strict,1,20000,4,4,done,20000,99.0364127006593,1.9472374236674312,,20000,99.0364127006593,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A2_pipe_uniform_p8_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326
