logical_run_id,phase_group,family_id,horizon_steps,seed,points,expected_points,first_step,last_step,complete_5k_grid
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,O2,ddp_P1_terminal,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,O4,ddp_P1_terminal,500000,1,100,100,5000,500000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,O3,ddp_P1_terminal,300000,2,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,O4,ddp_P1_terminal,500000,2,100,100,5000,500000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,O3,ddp_P1_terminal,300000,3,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,O4,ddp_P1_terminal,500000,3,100,100,5000,500000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,O3,ddp_P1_terminal,300000,4,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,O3,ddp_P1_terminal,300000,5,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,O5,ddp_P1_terminal_K100,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,O5,ddp_P1_terminal_K25,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,O5,ddp_P1_terminal_K50,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,O2,pipe_P16_deepest,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,O2,pipe_P16_equal,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,O2,pipe_P2_deepest,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,O2,pipe_P2_equal,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,O3,pipe_P2_equal,300000,2,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,O3,pipe_P2_equal,300000,3,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h300000,O2,pipe_P4_deepest,300000,1,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h500000,O4,pipe_P4_deepest,500000,1,100,100,5000,500000,yes
current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h300000,O3,pipe_P4_deepest,300000,2,60,60,5000,300000,yes
current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h500000,O4,pipe_P4_deepest,500000,2,100,100,5000,500000,yes
current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h300000,O3,pipe_P4_deepest,300000,3,60,60,5000,300000,yes
