ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,points_count,fid_points_count,final_step,final_fid_inception,best_step,best_fid_inception,train_walltime_seconds,train_walltime_hours,train_walltime_days,gpu_count,train_gpu_hours,walltime_source,canonical_run_dir
current_cifar_paper,O2,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000,cifar10,ddp_strict,1,terminal,100,300000,1,control,60,60,300000,65.7159189289,280000,56.4337222151,30200,8.388889,0.349537,4,33.555556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260406_214845
current_cifar_paper,O4,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,cifar10,ddp_strict,1,terminal,100,500000,1,headline,100,100,500000,65.7408930387,280000,54.2016348855,50024,13.895556,0.578981,4,55.582222,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed1_500k_20260409_132633
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,cifar10,ddp_strict,1,terminal,100,300000,2,headline,60,60,300000,59.1579654897,240000,54.5514085254,30149,8.374722,0.348947,4,33.498889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260407_172101
current_cifar_paper,O4,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,cifar10,ddp_strict,1,terminal,100,500000,2,headline,100,100,500000,58.114263119,370000,54.9688224456,50177,13.938056,0.580752,4,55.752222,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed2_500k_20260412_143208
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,cifar10,ddp_strict,1,terminal,100,300000,3,headline,60,60,300000,64.1021111602,230000,55.423298787,30258,8.405000,0.350208,4,33.620000,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260407_172101
current_cifar_paper,O4,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000,cifar10,ddp_strict,1,terminal,100,500000,3,headline,100,100,500000,64.2574121701,315000,52.9531881353,41994,11.665000,0.486042,4,46.660000,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed3_500k_resume_20260415_152638
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,cifar10,ddp_strict,1,terminal,100,300000,4,headline,60,60,300000,71.6528543388,125000,58.0296551199,30095,8.359722,0.348322,4,33.438889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260407_172101
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,cifar10,ddp_strict,1,terminal,100,300000,5,headline,60,60,300000,66.6958175734,175000,53.558815544,30131,8.369722,0.348738,4,33.478889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260407_172101
current_cifar_paper,O5,ddp_P1_terminal_K100,current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000,cifar10,ddp_strict,1,terminal,100,300000,1,control,60,60,300000,67.5877722892,280000,53.4704567942,30254,8.403889,0.350162,4,33.615556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O5/O5_ddp_fullk_K100_seed1_300k_20260416_184021
current_cifar_paper,O5,ddp_P1_terminal_K25,current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,cifar10,ddp_strict,1,terminal,25,300000,1,control,60,60,300000,369.390300606,5000,355.022580679,12781,3.550278,0.147928,4,14.201111,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O5/O5_ddp_fullk_K25_seed1_300k_20260416_184021
