phase_group,paper_role,regime,family_id,stage_count,weighting,K,horizon_steps,seed,gpu_count,train_walltime_hours,train_gpu_hours,final_step,final_fid_inception,best_step,best_fid_inception,logical_run_id
O1,appendix,single_emulation,single_P16_deepest,16,deepest,100,300000,1,1,10.541944,10.541944,300000,,,,current_cifar_paper:cifar10:single_P16_deepest:seed1:h300000
O1,appendix,single_emulation,single_P16_equal,16,equal,100,300000,1,1,10.520833,10.520833,300000,,,,current_cifar_paper:cifar10:single_P16_equal:seed1:h300000
O1,control,single_emulation,single_P2_deepest,2,deepest,100,300000,1,1,8.458611,8.458611,300000,62.1447661944,145000,60.0056781594,current_cifar_paper:cifar10:single_P2_deepest:seed1:h300000
O1,control,single_emulation,single_P2_equal,2,equal,100,300000,1,1,8.494167,8.494167,300000,65.8604504669,280000,53.7486292737,current_cifar_paper:cifar10:single_P2_equal:seed1:h300000
O1,control,single_emulation,single_P4_deepest,4,deepest,100,300000,1,1,8.746111,8.746111,300000,72.4087423547,80000,65.6031766441,current_cifar_paper:cifar10:single_P4_deepest:seed1:h300000
O1,control,single_emulation,single_P4_equal,4,equal,100,300000,1,1,8.758889,8.758889,300000,65.9610919559,280000,57.1650712527,current_cifar_paper:cifar10:single_P4_equal:seed1:h300000
O1,appendix,single_emulation,single_P8_deepest,8,deepest,100,300000,1,1,9.339722,9.339722,300000,,,,current_cifar_paper:cifar10:single_P8_deepest:seed1:h300000
O1,appendix,single_emulation,single_P8_equal,8,equal,100,300000,1,1,9.107778,9.107778,300000,407.659448397,35000,93.8011646191,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000
O1,control,single_strict,single_P1_terminal,1,terminal,100,300000,1,1,8.305833,8.305833,300000,68.217078108,280000,52.7581042384,current_cifar_paper:cifar10:single_P1_terminal:seed1:h300000
O2,control,ddp_strict,ddp_P1_terminal,1,terminal,100,300000,1,4,8.388889,33.555556,300000,65.7159189289,280000,56.4337222151,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h300000
O2,appendix,strict_pipeline,pipe_P16_deepest,16,deepest,100,300000,1,16,23.533889,376.542222,300000,,,,current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000
O2,appendix,strict_pipeline,pipe_P16_equal,16,equal,100,300000,1,16,22.732778,363.724444,300000,361.204284454,15000,157.720032356,current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000
O2,control,strict_pipeline,pipe_P2_deepest,2,deepest,100,300000,1,2,4.951389,9.902778,300000,63.0832698988,275000,57.2071794252,current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000
O2,control,strict_pipeline,pipe_P2_equal,2,equal,100,300000,1,2,4.920000,9.840000,300000,79.6302301069,290000,54.2510330946,current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000
O2,control,strict_pipeline,pipe_P4_deepest,4,deepest,100,300000,1,4,3.593333,14.373333,300000,64.3783738191,190000,58.9768392075,current_cifar_paper:cifar10:pipe_P4_deepest:seed1:h300000
O2,control,strict_pipeline,pipe_P4_equal,4,equal,100,300000,1,4,3.551389,14.205556,300000,58.6549496887,240000,51.6600966002,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h300000
O2,appendix,strict_pipeline,pipe_P8_deepest,8,deepest,100,300000,1,8,19.687500,157.500000,300000,114.118009288,295000,68.5937589675,current_cifar_paper:cifar10:pipe_P8_deepest:seed1:h300000
O2,appendix,strict_pipeline,pipe_P8_equal,8,equal,100,300000,1,8,3.201111,25.608889,300000,368.546531615,30000,102.536463322,current_cifar_paper:cifar10:pipe_P8_equal:seed1:h300000
O3,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,300000,2,4,8.374722,33.498889,300000,59.1579654897,240000,54.5514085254,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000
O3,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,300000,3,4,8.405000,33.620000,300000,64.1021111602,230000,55.423298787,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000
O3,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,300000,4,4,8.359722,33.438889,300000,71.6528543388,125000,58.0296551199,current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000
O3,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,300000,5,4,8.369722,33.478889,300000,66.6958175734,175000,53.558815544,current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000
O3,appendix,pipeline,pipe_P4_deepest,4,deepest,100,300000,2,4,3.597222,14.388889,300000,66.115842268,290000,58.9782429451,current_cifar_paper:cifar10:pipe_P4_deepest:seed2:h300000
O3,appendix,pipeline,pipe_P4_deepest,4,deepest,100,300000,3,4,3.581111,14.324444,300000,61.1531364267,165000,61.0949428451,current_cifar_paper:cifar10:pipe_P4_deepest:seed3:h300000
O3,headline,single_emulation,single_P2_deepest,2,deepest,100,300000,2,1,8.443333,8.443333,300000,62.258043298,285000,54.5980979086,current_cifar_paper:cifar10:single_P2_deepest:seed2:h300000
O3,headline,single_emulation,single_P2_deepest,2,deepest,100,300000,3,1,8.515556,8.515556,300000,67.0678360296,195000,57.253352108,current_cifar_paper:cifar10:single_P2_deepest:seed3:h300000
O3,headline,single_emulation,single_P2_equal,2,equal,100,300000,2,1,8.523056,8.523056,300000,61.6393809746,220000,55.2784708719,current_cifar_paper:cifar10:single_P2_equal:seed2:h300000
O3,headline,single_emulation,single_P2_equal,2,equal,100,300000,3,1,8.524722,8.524722,300000,64.3401252596,195000,56.0616477529,current_cifar_paper:cifar10:single_P2_equal:seed3:h300000
O3,headline,single_strict,single_P1_terminal,1,terminal,100,300000,2,1,8.339444,8.339444,300000,60.4509705506,300000,60.4509705506,current_cifar_paper:cifar10:single_P1_terminal:seed2:h300000
