horizon_steps,regime,stage_count,weighting,K,paper_role,logical_runs,mean_walltime_hours,median_walltime_hours,min_walltime_hours,max_walltime_hours,mean_gpu_hours,median_gpu_hours,mean_final_fid,median_final_fid,mean_best_fid,median_best_fid
300000,ddp_strict,1,terminal,25,control,1,3.550278,3.550278,3.550278,3.550278,14.201111,14.201111,369.390301,369.390301,355.022581,355.022581
300000,ddp_strict,1,terminal,50,control,1,5.181667,5.181667,5.181667,5.181667,20.726667,20.726667,135.061242,135.061242,125.963934,125.963934
300000,ddp_strict,1,terminal,100,control,2,8.396389,8.396389,8.388889,8.403889,33.585556,33.585556,66.651846,66.651846,54.952090,54.952090
300000,ddp_strict,1,terminal,100,headline,4,8.377292,8.372222,8.359722,8.405000,33.509167,33.488889,65.402187,65.398964,55.390794,54.987354
300000,pipeline,4,deepest,100,appendix,2,3.589167,3.589167,3.581111,3.597222,14.356666,14.356666,63.634489,63.634489,60.036593,60.036593
300000,pipeline,4,equal,100,control,1,3.553611,3.553611,3.553611,3.553611,14.214444,14.214444,75.244996,75.244996,48.935853,48.935853
300000,single_emulation,2,deepest,100,control,1,8.458611,8.458611,8.458611,8.458611,8.458611,8.458611,62.144766,62.144766,60.005678,60.005678
300000,single_emulation,2,deepest,100,headline,2,8.479444,8.479444,8.443333,8.515556,8.479444,8.479444,64.662940,64.662940,55.925725,55.925725
300000,single_emulation,2,equal,100,control,1,8.494167,8.494167,8.494167,8.494167,8.494167,8.494167,65.860450,65.860450,53.748629,53.748629
300000,single_emulation,2,equal,100,headline,2,8.523889,8.523889,8.523056,8.524722,8.523889,8.523889,62.989753,62.989753,55.670059,55.670059
300000,single_emulation,4,deepest,100,control,1,8.746111,8.746111,8.746111,8.746111,8.746111,8.746111,72.408742,72.408742,65.603177,65.603177
300000,single_emulation,4,equal,100,control,1,8.758889,8.758889,8.758889,8.758889,8.758889,8.758889,65.961092,65.961092,57.165071,57.165071
300000,single_emulation,8,deepest,100,appendix,1,9.339722,9.339722,9.339722,9.339722,9.339722,9.339722,,,,
300000,single_emulation,8,equal,100,appendix,1,9.107778,9.107778,9.107778,9.107778,9.107778,9.107778,407.659448,407.659448,93.801165,93.801165
300000,single_emulation,16,deepest,100,appendix,1,10.541944,10.541944,10.541944,10.541944,10.541944,10.541944,,,,
300000,single_emulation,16,equal,100,appendix,1,10.520833,10.520833,10.520833,10.520833,10.520833,10.520833,,,,
300000,single_strict,1,terminal,100,control,1,8.305833,8.305833,8.305833,8.305833,8.305833,8.305833,68.217078,68.217078,52.758104,52.758104
300000,single_strict,1,terminal,100,headline,2,6.887083,6.887083,5.434722,8.339444,6.887083,6.887083,61.868051,61.868051,58.420900,58.420900
300000,strict_pipeline,2,deepest,100,control,1,4.951389,4.951389,4.951389,4.951389,9.902778,9.902778,63.083270,63.083270,57.207179,57.207179
300000,strict_pipeline,2,equal,100,control,3,4.898241,4.888889,4.885833,4.920000,9.796482,9.777778,72.956863,70.906256,54.558079,54.251033
300000,strict_pipeline,4,deepest,100,control,2,3.283055,3.283055,2.972778,3.593333,13.132222,13.132222,67.812108,67.812108,61.231620,61.231620
300000,strict_pipeline,4,equal,100,control,2,3.576528,3.576528,3.551389,3.601667,14.306112,14.306112,59.022792,59.022792,50.290677,50.290677
300000,strict_pipeline,4,equal,100,headline,4,3.330694,3.609444,2.475833,3.628056,13.322778,14.437777,71.822548,70.464977,52.881023,52.889563
300000,strict_pipeline,8,deepest,100,appendix,1,19.687500,19.687500,19.687500,19.687500,157.500000,157.500000,114.118009,114.118009,68.593759,68.593759
300000,strict_pipeline,8,equal,100,appendix,1,3.201111,3.201111,3.201111,3.201111,25.608889,25.608889,368.546532,368.546532,102.536463,102.536463
300000,strict_pipeline,16,deepest,100,appendix,1,23.533889,23.533889,23.533889,23.533889,376.542222,376.542222,,,,
300000,strict_pipeline,16,equal,100,appendix,1,22.732778,22.732778,22.732778,22.732778,363.724444,363.724444,361.204284,361.204284,157.720032,157.720032
500000,ddp_strict,1,terminal,100,headline,3,13.166204,13.895556,11.665000,13.938056,52.664815,55.582222,62.704189,64.257412,54.041215,54.201635
500000,pipeline,4,equal,100,headline,2,5.941667,5.941667,5.911944,5.971389,23.766667,23.766667,56.225281,56.225281,50.108611,50.108611
500000,single_emulation,2,deepest,100,headline,3,13.911389,14.073056,13.580556,14.080556,13.911389,14.073056,67.812526,64.357900,55.512683,55.520716
500000,single_emulation,2,equal,100,headline,3,14.128148,14.120556,14.086944,14.176944,14.128148,14.120556,65.265706,62.323967,53.940593,54.304840
500000,single_strict,1,terminal,100,headline,3,13.869630,13.888056,13.829167,13.891667,13.869630,13.888056,67.696238,65.909930,55.633465,55.307430
500000,strict_pipeline,4,deepest,100,control,3,5.969166,5.970833,5.950833,5.985833,23.876666,23.883333,74.467474,73.934802,54.981360,54.919946
500000,strict_pipeline,4,equal,100,headline,3,5.980370,5.976111,5.970278,5.994722,23.921481,23.904444,60.969097,57.017967,48.377850,48.227093
