aggregate_scope,ledger,phase_group,regime,paper_role,logical_runs,runs_with_walltime,runs_missing_walltime,total_train_walltime_seconds,total_train_walltime_hours,total_train_walltime_days,total_train_gpu_hours,note
ledger,current_cifar_paper,,,,62,62,0,1903039.002,528.621945,22.025914,1954.603333,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group,current_cifar_paper,O1,,,9,9,0,296185.997,82.273888,3.428079,82.273888,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group,current_cifar_paper,O2,,,9,9,0,340417.001,94.560278,3.940012,1005.252778,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group,current_cifar_paper,O3,,,18,18,0,401636.995,111.565832,4.648576,283.371388,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group,current_cifar_paper,O4,,,20,20,0,766649.005,212.958057,8.873252,474.649723,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group,current_cifar_paper,O5,,,6,6,0,98150.004,27.263890,1.135995,109.055556,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O1,single_emulation,,8,8,0,266284.998,73.968055,3.082002,73.968055,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O1,single_strict,,1,1,0,29900.999,8.305833,0.346076,8.305833,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O2,ddp_strict,,1,1,0,30200.000,8.388889,0.349537,33.555556,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O2,strict_pipeline,,8,8,0,310217.000,86.171389,3.590475,971.697222,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O3,ddp_strict,,4,4,0,120632.998,33.509166,1.396215,134.036667,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O3,pipeline,,2,2,0,25841.999,7.178333,0.299097,28.713333,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O3,single_emulation,,4,4,0,122424.001,34.006667,1.416944,34.006667,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O3,single_strict,,2,2,0,49586.998,13.774166,0.573924,13.774166,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O3,strict_pipeline,,6,6,0,83151.000,23.097500,0.962396,72.840555,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O4,ddp_strict,,3,3,0,142195.003,39.498612,1.645775,157.994444,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O4,pipeline,,2,2,0,42779.999,11.883333,0.495139,47.533334,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O4,single_emulation,,6,6,0,302827.003,84.118612,3.504942,84.118612,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O4,single_strict,,3,3,0,149792.004,41.608890,1.733704,41.608890,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O4,strict_pipeline,,6,6,0,129054.996,35.848610,1.493692,143.394443,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O5,ddp_strict,,3,3,0,61689.002,17.135834,0.713993,68.543334,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O5,pipeline,,1,1,0,12793.000,3.553611,0.148067,14.214444,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
phase_group_regime,current_cifar_paper,O5,strict_pipeline,,2,2,0,23668.002,6.574445,0.273935,26.297778,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
paper_role,current_cifar_paper,,,appendix,10,10,0,417037.997,115.843888,4.826829,991.599165,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
paper_role,current_cifar_paper,,,control,21,21,0,443212.999,123.114722,5.129780,324.875834,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
paper_role,current_cifar_paper,,,headline,31,31,0,1042788.006,289.663335,12.069306,638.128334,"Summed per-run training wall-clock, not calendar makespan; GPU-hours sum uses recorded gpu_count per run."
